Year,Country,Category,Value
2004,Brunei,Invertebrates,0
2004,Brunei,Plants,99
2004,Brunei,Total,148
2004,Brunei,Vertebrates,49
2004,Bulgaria,Invertebrates,9
2004,Bulgaria,Plants,0
2004,Bulgaria,Total,44
2004,Bulgaria,Vertebrates,35
2004,Burkina Faso,Invertebrates,0
2004,Burkina Faso,Plants,2
2004,Burkina Faso,Total,11
2004,Burkina Faso,Vertebrates,9
2004,Burundi,Invertebrates,4
2004,Burundi,Plants,2
2004,Burundi,Total,28
2004,Burundi,Vertebrates,22
2004,Cabo Verde,Invertebrates,0
2004,Cabo Verde,Plants,2
2004,Cabo Verde,Total,23
2004,Cabo Verde,Vertebrates,21
2004,Cambodia,Invertebrates,0
2004,Cambodia,Plants,31
2004,Cambodia,Total,103
2004,Cambodia,Vertebrates,72
2004,Cameroon,Invertebrates,4
2004,Cameroon,Plants,334
2004,Cameroon,Total,484
2004,Cameroon,Vertebrates,146
2004,Canada,Invertebrates,11
2004,Canada,Plants,1
2004,Canada,Total,74
2004,Canada,Vertebrates,62
2004,Cayman Islands,Invertebrates,1
2004,Cayman Islands,Plants,2
2004,Cayman Islands,Total,19
2004,Cayman Islands,Vertebrates,16
2004,Central African Republic,Invertebrates,0
2004,Central African Republic,Plants,15
2004,Central African Republic,Total,30
2004,Central African Republic,Vertebrates,15
2004,Chad,Invertebrates,1
2004,Chad,Plants,2
2004,Chad,Total,21
2004,Chad,Vertebrates,18
2004,Chile,Invertebrates,0
2004,Chile,Plants,40
2004,Chile,Total,123
2004,Chile,Vertebrates,83
2004,China,Invertebrates,4
2004,China,Plants,443
2004,China,Total,773
2004,China,Vertebrates,326
2004,"China, Hong Kong SAR",Invertebrates,1
2004,"China, Hong Kong SAR",Plants,6
2004,"China, Hong Kong SAR",Total,39
2004,"China, Hong Kong SAR",Vertebrates,32
2004,"China, Macao SAR",Invertebrates,0
2004,"China, Macao SAR",Plants,0
2004,"China, Macao SAR",Total,5
2004,"China, Macao SAR",Vertebrates,5
2004,Christmas Island,Invertebrates,0
2004,Christmas Island,Plants,1
2004,Christmas Island,Total,13
2004,Christmas Island,Vertebrates,12
2004,Cocos (Keeling) Islands,Invertebrates,0
2004,Cocos (Keeling) Islands,Plants,0
2004,Cocos (Keeling) Islands,Total,5
2004,Cocos (Keeling) Islands,Vertebrates,5
2004,Colombia,Invertebrates,0
2004,Colombia,Plants,222
2004,Colombia,Total,593
2004,Colombia,Vertebrates,371
2004,Comoros,Invertebrates,4
2004,Comoros,Plants,5
2004,Comoros,Total,27
2004,Comoros,Vertebrates,18
2004,Congo,Invertebrates,1
2004,Congo,Plants,35
2004,Congo,Total,65
2004,Congo,Vertebrates,29
2004,Cook Islands,Invertebrates,0
2004,Cook Islands,Plants,1
2004,Cook Islands,Total,23
2004,Cook Islands,Vertebrates,22
2004,Costa Rica,Invertebrates,9
2004,Costa Rica,Plants,110
2004,Costa Rica,Total,231
2004,Costa Rica,Vertebrates,112
2004,Croatia,Invertebrates,11
2004,Croatia,Plants,0
2004,Croatia,Total,57
2004,Croatia,Vertebrates,46
2004,Cuba,Invertebrates,3
2004,Cuba,Plants,163
2004,Cuba,Total,272
2004,Cuba,Vertebrates,106
2004,Cyprus,Invertebrates,0
2004,Cyprus,Plants,1
2004,Cyprus,Total,25
2004,Cyprus,Vertebrates,24
2004,Czech Republic,Invertebrates,19
2004,Czech Republic,Plants,4
2004,Czech Republic,Total,45
2004,Czech Republic,Vertebrates,22
2004,Ivory Coast,Invertebrates,1
2004,Ivory Coast,Plants,105
2004,Ivory Coast,Total,167
2004,Ivory Coast,Vertebrates,61
2004,North Korea,Invertebrates,1
2004,North Korea,Plants,3
2004,North Korea,Total,44
2004,North Korea,Vertebrates,40
2004,Congo,Invertebrates,22
2004,Congo,Plants,65
2004,Congo,Total,171
2004,Congo,Vertebrates,84
2004,Denmark,Invertebrates,11
2004,Denmark,Plants,3
2004,Denmark,Total,35
2004,Denmark,Vertebrates,21
2004,Djibouti,Invertebrates,0
2004,Djibouti,Plants,2
2004,Djibouti,Total,21
2004,Djibouti,Vertebrates,19
2004,Dominica,Invertebrates,0
2004,Dominica,Plants,11
2004,Dominica,Total,33
2004,Dominica,Vertebrates,22
2004,Dominican Republic,Invertebrates,2
2004,Dominican Republic,Plants,30
2004,Dominican Republic,Total,104
2004,Dominican Republic,Vertebrates,72
2004,Ecuador,Invertebrates,48
2004,Ecuador,Plants,1815
2004,Ecuador,Total,2151
2004,Ecuador,Vertebrates,288
2004,Egypt,Invertebrates,1
2004,Egypt,Plants,2
2004,Egypt,Total,46
2004,Egypt,Vertebrates,43
2004,El Salvador,Invertebrates,1
2004,El Salvador,Plants,25
2004,El Salvador,Total,49
2004,El Salvador,Vertebrates,23
2004,Equatorial Guinea,Invertebrates,2
2004,Equatorial Guinea,Plants,61
2004,Equatorial Guinea,Total,101
2004,Equatorial Guinea,Vertebrates,38
2004,Eritrea,Invertebrates,0
2004,Eritrea,Plants,3
2004,Eritrea,Total,34
2004,Eritrea,Vertebrates,31
2004,Estonia,Invertebrates,4
2004,Estonia,Plants,0
2004,Estonia,Total,12
2004,Estonia,Vertebrates,8
2004,Eswatini,Invertebrates,0
2004,Eswatini,Plants,11
2004,Eswatini,Total,23
2004,Eswatini,Vertebrates,12
2004,Ethiopia,Invertebrates,6
2004,Ethiopia,Plants,22
2004,Ethiopia,Total,93
2004,Ethiopia,Vertebrates,65
2004,Falkland Islands (Malvinas),Invertebrates,0
2004,Falkland Islands (Malvinas),Plants,5
2004,Falkland Islands (Malvinas),Total,26
2004,Falkland Islands (Malvinas),Vertebrates,21
2004,Faroe Islands,Invertebrates,0
2004,Faroe Islands,Plants,0
2004,Faroe Islands,Total,11
2004,Faroe Islands,Vertebrates,11
2004,Fiji,Invertebrates,2
2004,Fiji,Plants,66
2004,Fiji,Total,101
2004,Fiji,Vertebrates,33
2004,Finland,Invertebrates,10
2004,Finland,Plants,1
2004,Finland,Total,25
2004,Finland,Vertebrates,14
2004,France,Invertebrates,65
2004,France,Plants,2
2004,France,Total,120
2004,France,Vertebrates,53
2004,French Guiana,Invertebrates,0
2004,French Guiana,Plants,16
2004,French Guiana,Total,49
2004,French Guiana,Vertebrates,33
2004,French Polynesia,Invertebrates,29
2004,French Polynesia,Plants,47
2004,French Polynesia,Total,122
2004,French Polynesia,Vertebrates,46
2004,French Southern Territories,Invertebrates,0
2004,French Southern Territories,Plants,0
2004,French Southern Territories,Total,17
2004,French Southern Territories,Vertebrates,17
2004,Gabon,Invertebrates,1
2004,Gabon,Plants,107
2004,Gabon,Total,139
2004,Gabon,Vertebrates,31
2004,Gambia,Invertebrates,0
2004,Gambia,Plants,4
2004,Gambia,Total,21
2004,Gambia,Vertebrates,17
2004,Georgia,Invertebrates,10
2004,Georgia,Plants,0
2004,Georgia,Total,43
2004,Georgia,Vertebrates,33
2004,Germany,Invertebrates,31
2004,Germany,Plants,12
2004,Germany,Total,78
2004,Germany,Vertebrates,35
2004,Ghana,Invertebrates,0
2004,Ghana,Plants,117
2004,Ghana,Total,160
2004,Ghana,Vertebrates,43
2004,Gibraltar,Invertebrates,2
2004,Gibraltar,Plants,0
2004,Gibraltar,Total,18
2004,Gibraltar,Vertebrates,16
2004,Greece,Invertebrates,11
2004,Greece,Plants,2
2004,Greece,Total,75
2004,Greece,Vertebrates,62
2004,Greenland,Invertebrates,0
2004,Greenland,Plants,1
2004,Greenland,Total,12
2004,Greenland,Vertebrates,11
2004,Grenada,Invertebrates,0
2004,Grenada,Plants,3
2004,Grenada,Total,23
2004,Grenada,Vertebrates,20
2004,Guadeloupe,Invertebrates,1
2004,Guadeloupe,Plants,7
2004,Guadeloupe,Total,33
2004,Guadeloupe,Vertebrates,25
2004,Guam,Invertebrates,5
2004,Guam,Plants,3
2004,Guam,Total,24
2004,Guam,Vertebrates,16
2004,Guatemala,Invertebrates,8
2004,Guatemala,Plants,85
2004,Guatemala,Total,208
2004,Guatemala,Vertebrates,115
2004,Guinea,Invertebrates,3
2004,Guinea,Plants,22
2004,Guinea,Total,67
2004,Guinea,Vertebrates,42
2004,Guinea-Bissau,Invertebrates,1
2004,Guinea-Bissau,Plants,4
2004,Guinea-Bissau,Total,22
2004,Guinea-Bissau,Vertebrates,17
2004,Guyana,Invertebrates,1
2004,Guyana,Plants,23
2004,Guyana,Total,65
2004,Guyana,Vertebrates,41
2004,Haiti,Invertebrates,2
2004,Haiti,Plants,28
2004,Haiti,Total,116
2004,Haiti,Vertebrates,86
2004,Heard Is. and McDonald Is.,Invertebrates,0
2004,Heard Is. and McDonald Is.,Plants,0
2004,Heard Is. and McDonald Is.,Total,12
2004,Heard Is. and McDonald Is.,Vertebrates,12
2004,Honduras,Invertebrates,2
2004,Honduras,Plants,111
2004,Honduras,Total,206
2004,Honduras,Vertebrates,93
2004,Hungary,Invertebrates,25
2004,Hungary,Plants,1
2004,Hungary,Total,51
2004,Hungary,Vertebrates,25
2004,Iceland,Invertebrates,0
2004,Iceland,Plants,0
2004,Iceland,Total,15
2004,Iceland,Vertebrates,15
2004,India,Invertebrates,23
2004,India,Plants,246
2004,India,Total,552
2004,India,Vertebrates,283
2004,Indonesia,Invertebrates,31
2004,Indonesia,Plants,383
2004,Indonesia,Total,833
2004,Indonesia,Vertebrates,419
2004,Iran,Invertebrates,3
2004,Iran,Plants,1
2004,Iran,Total,69
2004,Iran,Vertebrates,65
2004,Iraq,Invertebrates,2
2004,Iraq,Plants,0
2004,Iraq,Total,35
2004,Iraq,Vertebrates,33
2004,Ireland,Invertebrates,3
2004,Ireland,Plants,1
2004,Ireland,Total,22
2004,Ireland,Vertebrates,18
2004,Israel,Invertebrates,10
2004,Israel,Plants,0
2004,Israel,Total,57
2004,Israel,Vertebrates,47
2004,Italy,Invertebrates,58
2004,Italy,Plants,3
2004,Italy,Total,114
2004,Italy,Vertebrates,53
2004,Jamaica,Invertebrates,5
2004,Jamaica,Plants,208
2004,Jamaica,Total,267
2004,Jamaica,Vertebrates,54
2004,Japan,Invertebrates,45
2004,Japan,Plants,12
2004,Japan,Total,205
2004,Japan,Vertebrates,148
2004,Jordan,Invertebrates,3
2004,Jordan,Plants,0
2004,Jordan,Total,30
2004,Jordan,Vertebrates,27
2004,Kazakhstan,Invertebrates,4
2004,Kazakhstan,Plants,1
2004,Kazakhstan,Total,53
2004,Kazakhstan,Vertebrates,48
2004,Kenya,Invertebrates,27
2004,Kenya,Plants,103
2004,Kenya,Total,229
2004,Kenya,Vertebrates,99
2004,Kiribati,Invertebrates,1
2004,Kiribati,Plants,0
2004,Kiribati,Total,11
2004,Kiribati,Vertebrates,10
2004,Kuwait,Invertebrates,0
2004,Kuwait,Plants,0
2004,Kuwait,Total,20
2004,Kuwait,Vertebrates,20
2004,Kyrgyzstan,Invertebrates,3
2004,Kyrgyzstan,Plants,1
2004,Kyrgyzstan,Total,16
2004,Kyrgyzstan,Vertebrates,12
2004,Laos,Invertebrates,0
2004,Laos,Plants,19
2004,Laos,Total,91
2004,Laos,Vertebrates,72
2004,Latvia,Invertebrates,8
2004,Latvia,Plants,0
2004,Latvia,Total,23
2004,Latvia,Vertebrates,15
2004,Lebanon,Invertebrates,1
2004,Lebanon,Plants,0
2004,Lebanon,Total,26
2004,Lebanon,Vertebrates,25
2004,Lesotho,Invertebrates,1
2004,Lesotho,Plants,1
2004,Lesotho,Total,13
2004,Lesotho,Vertebrates,11
2004,Liberia,Invertebrates,3
2004,Liberia,Plants,46
2004,Liberia,Total,94
2004,Liberia,Vertebrates,45
2004,Libya,Invertebrates,0
2004,Libya,Plants,1
2004,Libya,Total,25
2004,Libya,Vertebrates,24
2004,Liechtenstein,Invertebrates,5
2004,Liechtenstein,Plants,0
2004,Liechtenstein,Total,8
2004,Liechtenstein,Vertebrates,3
2004,Lithuania,Invertebrates,5
2004,Lithuania,Plants,0
2004,Lithuania,Total,17
2004,Lithuania,Vertebrates,12
2004,Luxembourg,Invertebrates,4
2004,Luxembourg,Plants,0
2004,Luxembourg,Total,10
2004,Luxembourg,Vertebrates,6
2004,Madagascar,Invertebrates,32
2004,Madagascar,Plants,276
2004,Madagascar,Total,530
2004,Madagascar,Vertebrates,222
2004,Malawi,Invertebrates,11
2004,Malawi,Plants,14
2004,Malawi,Total,50
2004,Malawi,Vertebrates,25
2004,Malaysia,Invertebrates,19
2004,Malaysia,Plants,683
2004,Malaysia,Total,892
2004,Malaysia,Vertebrates,190
2004,Maldives,Invertebrates,0
2004,Maldives,Plants,0
2004,Maldives,Total,12
2004,Maldives,Vertebrates,12
2004,Mali,Invertebrates,0
2004,Mali,Plants,6
2004,Mali,Total,25
2004,Mali,Vertebrates,19
2004,Malta,Invertebrates,3
2004,Malta,Plants,0
2004,Malta,Total,25
2004,Malta,Vertebrates,22
2004,Marshall Islands,Invertebrates,1
2004,Marshall Islands,Plants,0
2004,Marshall Islands,Total,13
2004,Marshall Islands,Vertebrates,12
2004,Martinique,Invertebrates,1
2004,Martinique,Plants,8
2004,Martinique,Total,29
2004,Martinique,Vertebrates,20
2004,Mauritania,Invertebrates,1
2004,Mauritania,Plants,0
2004,Mauritania,Total,26
2004,Mauritania,Vertebrates,25
2004,Mauritius,Invertebrates,32
2004,Mauritius,Plants,87
2004,Mauritius,Total,147
2004,Mauritius,Vertebrates,28
2004,Mayotte,Invertebrates,1
2004,Mayotte,Plants,0
2004,Mayotte,Total,7
2004,Mayotte,Vertebrates,6
2004,Mexico,Invertebrates,41
2004,Mexico,Plants,261
2004,Mexico,Total,748
2004,Mexico,Vertebrates,446
2004,Micronesia (Fed. States of),Invertebrates,4
2004,Micronesia (Fed. States of),Plants,4
2004,Micronesia (Fed. States of),Total,30
2004,Micronesia (Fed. States of),Vertebrates,22
2004,Monaco,Invertebrates,0
2004,Monaco,Plants,0
2004,Monaco,Total,9
2004,Monaco,Vertebrates,9
2004,Mongolia,Invertebrates,3
2004,Mongolia,Plants,0
2004,Mongolia,Total,39
2004,Mongolia,Vertebrates,36
2004,Montserrat,Invertebrates,0
2004,Montserrat,Plants,3
2004,Montserrat,Total,21
2004,Montserrat,Vertebrates,18
2004,Morocco,Invertebrates,8
2004,Morocco,Plants,2
2004,Morocco,Total,50
2004,Morocco,Vertebrates,40
2004,Mozambique,Invertebrates,5
2004,Mozambique,Plants,46
2004,Mozambique,Total,115
2004,Mozambique,Vertebrates,64
2004,Myanmar,Invertebrates,2
2004,Myanmar,Plants,38
2004,Myanmar,Total,147
2004,Myanmar,Vertebrates,107
2004,Namibia,Invertebrates,1
2004,Namibia,Plants,24
2004,Namibia,Total,69
2004,Namibia,Vertebrates,44
2004,Nauru,Invertebrates,0
2004,Nauru,Plants,0
2004,Nauru,Total,5
2004,Nauru,Vertebrates,5
2004,Nepal,Invertebrates,1
2004,Nepal,Plants,7
2004,Nepal,Total,77
2004,Nepal,Vertebrates,69
2004,Netherlands,Invertebrates,7
2004,Netherlands,Plants,0
2004,Netherlands,Total,34
2004,Netherlands,Vertebrates,27
2004,Netherlands Antilles [former],Invertebrates,0
2004,Netherlands Antilles [former],Plants,2
2004,Netherlands Antilles [former],Total,28
2004,Netherlands Antilles [former],Vertebrates,26
2004,New Caledonia,Invertebrates,11
2004,New Caledonia,Plants,217
2004,New Caledonia,Total,262
2004,New Caledonia,Vertebrates,34
2004,New Zealand,Invertebrates,14
2004,New Zealand,Plants,21
2004,New Zealand,Total,149
2004,New Zealand,Vertebrates,114
2004,Nicaragua,Invertebrates,2
2004,Nicaragua,Plants,39
2004,Nicaragua,Total,90
2004,Nicaragua,Vertebrates,49
2004,Niger,Invertebrates,1
2004,Niger,Plants,2
2004,Niger,Total,15
2004,Niger,Vertebrates,12
2004,Nigeria,Invertebrates,1
2004,Nigeria,Plants,170
2004,Nigeria,Total,232
2004,Nigeria,Vertebrates,61
2004,Niue,Invertebrates,0
2004,Niue,Plants,0
2004,Niue,Total,12
2004,Niue,Vertebrates,12
2004,Norfolk Island,Invertebrates,12
2004,Norfolk Island,Plants,1
2004,Norfolk Island,Total,34
2004,Norfolk Island,Vertebrates,21
2004,North Macedonia,Invertebrates,5
2004,North Macedonia,Plants,0
2004,North Macedonia,Total,29
2004,North Macedonia,Vertebrates,24
2004,Northern Mariana Islands,Invertebrates,2
2004,Northern Mariana Islands,Plants,4
2004,Northern Mariana Islands,Total,28
2004,Northern Mariana Islands,Vertebrates,22
2004,Norway,Invertebrates,9
2004,Norway,Plants,2
2004,Norway,Total,33
2004,Norway,Vertebrates,22
2004,Oman,Invertebrates,1
2004,Oman,Plants,6
2004,Oman,Total,55
2004,Oman,Vertebrates,48
2004,Other non-specified areas,Invertebrates,0
2004,Other non-specified areas,Plants,78
2004,Other non-specified areas,Total,157
2004,Other non-specified areas,Vertebrates,79
2004,Pakistan,Invertebrates,0
2004,Pakistan,Plants,2
2004,Pakistan,Total,72
2004,Pakistan,Vertebrates,70
2004,Palau,Invertebrates,5
2004,Palau,Plants,3
2004,Palau,Total,21
2004,Palau,Vertebrates,13
2004,Panama,Invertebrates,2
2004,Panama,Plants,195
2004,Panama,Total,310
2004,Panama,Vertebrates,113
2004,Papua New Guinea,Invertebrates,12
2004,Papua New Guinea,Plants,142
2004,Papua New Guinea,Total,295
2004,Papua New Guinea,Vertebrates,141
2004,Paraguay,Invertebrates,0
2004,Paraguay,Plants,10
2004,Paraguay,Total,50
2004,Paraguay,Vertebrates,40
2004,Peru,Invertebrates,2
2004,Peru,Plants,274
2004,Peru,Total,508
2004,Peru,Vertebrates,232
2004,Philippines,Invertebrates,19
2004,Philippines,Plants,212
2004,Philippines,Total,456
2004,Philippines,Vertebrates,225
2004,Pitcairn,Invertebrates,5
2004,Pitcairn,Plants,7
2004,Pitcairn,Total,27
2004,Pitcairn,Vertebrates,15
2004,Poland,Invertebrates,15
2004,Poland,Plants,4
2004,Poland,Total,46
2004,Poland,Vertebrates,27
2004,Portugal,Invertebrates,82
2004,Portugal,Plants,15
2004,Portugal,Total,148
2004,Portugal,Vertebrates,51
2004,Puerto Rico,Invertebrates,1
2004,Puerto Rico,Plants,52
2004,Puerto Rico,Total,97
2004,Puerto Rico,Vertebrates,44
2004,Qatar,Invertebrates,0
2004,Qatar,Plants,0
2004,Qatar,Total,12
2004,Qatar,Vertebrates,12
2004,South Korea,Invertebrates,1
2004,South Korea,Plants,0
2004,South Korea,Total,55
2004,South Korea,Vertebrates,54
2004,Moldova,Invertebrates,5
2004,Moldova,Plants,0
2004,Moldova,Total,27
2004,Moldova,Vertebrates,22
2004,Romania,Invertebrates,22
2004,Romania,Plants,1
2004,Romania,Total,63
2004,Romania,Vertebrates,40
2004,Russia,Invertebrates,30
2004,Russia,Plants,7
2004,Russia,Total,151
2004,Russia,Vertebrates,114
2004,Rwanda,Invertebrates,4
2004,Rwanda,Plants,3
2004,Rwanda,Total,37
2004,Rwanda,Vertebrates,30
2004,R�union,Invertebrates,16
2004,R�union,Plants,14
2004,R�union,Total,48
2004,R�union,Vertebrates,18
2004,Saint Helena,Invertebrates,2
2004,Saint Helena,Plants,26
2004,Saint Helena,Total,60
2004,Saint Helena,Vertebrates,32
2004,Saint Kitts and Nevis,Invertebrates,0
2004,Saint Kitts and Nevis,Plants,2
2004,Saint Kitts and Nevis,Total,19
2004,Saint Kitts and Nevis,Vertebrates,17
2004,Saint Lucia,Invertebrates,0
2004,Saint Lucia,Plants,6
2004,Saint Lucia,Total,29
2004,Saint Lucia,Vertebrates,23
2004,Saint Pierre and Miquelon,Invertebrates,0
2004,Saint Pierre and Miquelon,Plants,0
2004,Saint Pierre and Miquelon,Total,2
2004,Saint Pierre and Miquelon,Vertebrates,2
2004,Saint Vincent & Grenadines,Invertebrates,0
2004,Saint Vincent & Grenadines,Plants,4
2004,Saint Vincent & Grenadines,Total,24
2004,Saint Vincent & Grenadines,Vertebrates,20
2004,Samoa,Invertebrates,1
2004,Samoa,Plants,2
2004,Samoa,Total,18
2004,Samoa,Vertebrates,15
2004,Sao Tome and Principe,Invertebrates,2
2004,Sao Tome and Principe,Plants,35
2004,Sao Tome and Principe,Total,61
2004,Sao Tome and Principe,Vertebrates,24
2004,Saudi Arabia,Invertebrates,1
2004,Saudi Arabia,Plants,3
2004,Saudi Arabia,Total,41
2004,Saudi Arabia,Vertebrates,37
2004,Senegal,Invertebrates,0
2004,Senegal,Plants,7
2004,Senegal,Total,47
2004,Senegal,Vertebrates,40
2004,Republic of Serbia and Monten. [former],Invertebrates,19
2004,Republic of Serbia and Monten. [former],Plants,1
2004,Republic of Serbia and Monten. [former],Total,62
2004,Republic of Serbia and Monten. [former],Vertebrates,42
2004,Seychelles,Invertebrates,4
2004,Seychelles,Plants,45
2004,Seychelles,Total,84
2004,Seychelles,Vertebrates,35
2004,Sierra Leone,Invertebrates,4
2004,Sierra Leone,Plants,47
2004,Sierra Leone,Total,86
2004,Sierra Leone,Vertebrates,35
2004,Singapore,Invertebrates,1
2004,Singapore,Plants,54
2004,Singapore,Total,85
2004,Singapore,Vertebrates,30
2004,Slovakia,Invertebrates,19
2004,Slovakia,Plants,2
2004,Slovakia,Total,48
2004,Slovakia,Vertebrates,27
2004,Slovenia,Invertebrates,42
2004,Slovenia,Plants,0
2004,Slovenia,Total,74
2004,Slovenia,Vertebrates,32
2004,Solomon Islands,Invertebrates,6
2004,Solomon Islands,Plants,16
2004,Solomon Islands,Total,74
2004,Solomon Islands,Vertebrates,52
2004,Somalia,Invertebrates,1
2004,Somalia,Plants,17
2004,Somalia,Total,64
2004,Somalia,Vertebrates,46
2004,South Africa,Invertebrates,127
2004,South Africa,Plants,75
2004,South Africa,Total,357
2004,South Africa,Vertebrates,155
2004,South Georgia & Sandwich Is.,Invertebrates,0
2004,South Georgia & Sandwich Is.,Plants,0
2004,South Georgia & Sandwich Is.,Total,12
2004,South Georgia & Sandwich Is.,Vertebrates,12
2004,Spain,Invertebrates,63
2004,Spain,Plants,14
2004,Spain,Total,153
2004,Spain,Vertebrates,76
2004,Sri Lanka,Invertebrates,2
2004,Sri Lanka,Plants,280
2004,Sri Lanka,Total,394
2004,Sri Lanka,Vertebrates,112
2004,State of Palestine,Invertebrates,0
2004,State of Palestine,Plants,0
2004,State of Palestine,Total,4
2004,State of Palestine,Vertebrates,4
2004,Sudan,Invertebrates,2
2004,Sudan,Plants,17
2004,Sudan,Total,55
2004,Sudan,Vertebrates,36
2004,Suriname,Invertebrates,0
2004,Suriname,Plants,27
2004,Suriname,Total,59
2004,Suriname,Vertebrates,32
2004,Svalbard and Jan Mayen Is.,Invertebrates,0
2004,Svalbard and Jan Mayen Is.,Plants,0
2004,Svalbard and Jan Mayen Is.,Total,9
2004,Svalbard and Jan Mayen Is.,Vertebrates,9
2004,Sweden,Invertebrates,13
2004,Sweden,Plants,3
2004,Sweden,Total,36
2004,Sweden,Vertebrates,20
2004,Switzerland,Invertebrates,30
2004,Switzerland,Plants,2
2004,Switzerland,Total,49
2004,Switzerland,Vertebrates,17
2004,Syria,Invertebrates,3
2004,Syria,Plants,0
2004,Syria,Total,29
2004,Syria,Vertebrates,26
2004,Tajikistan,Invertebrates,2
2004,Tajikistan,Plants,2
2004,Tajikistan,Total,24
2004,Tajikistan,Vertebrates,20
2004,Thailand,Invertebrates,1
2004,Thailand,Plants,84
2004,Thailand,Total,221
2004,Thailand,Vertebrates,136
2004,Timor-Leste,Invertebrates,0
2004,Timor-Leste,Plants,0
